,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
130,2015-07-16,sz.399001,11963.3500,12600.6500,11637.4700,12357.6100,12132.4200,32429414400,508194000000.0000,3,0.061531,1,1.856081,,,,,
131,2015-07-17,sz.399001,12460.5100,13097.4500,12435.5900,13004.9600,12357.6100,30700764800,507933000000.0000,3,0.058178,1,5.238479,,,,,
132,2015-07-20,sz.399001,13115.4800,13427.8600,12942.9500,13202.3900,13004.9600,35816518400,631752000000.0000,3,0.067873,1,1.518171,,,,,
133,2015-07-21,sz.399001,13038.1500,13436.9100,12928.1300,13315.5600,13202.3900,31241571200,560592000000.0000,3,0.059186,1,0.857126,,,,,
134,2015-07-22,sz.399001,13307.9300,13482.0400,13098.8000,13416.5400,13315.5600,33490892800,605120000000.0000,3,0.063405,1,0.758365,,,,,
135,2015-07-23,sz.399001,13432.6100,13792.3700,13356.0500,13754.5300,13416.5400,36704348800,654514000000.0000,3,0.069488,1,2.519221,,,,,
136,2015-07-24,sz.399001,13789.3100,13970.8400,13424.1800,13518.5100,13754.5300,40085593600,744183000000.0000,3,0.075890,1,-1.715898,,,,,
137,2015-07-27,sz.399001,13242.6900,13579.6400,12488.3700,12493.0500,13518.5100,36443904000,667695000000.0000,3,0.068994,1,-7.585661,,,,,
138,2015-07-28,sz.399001,11986.2500,12676.2700,11719.0000,12316.7800,12493.0500,37431104000,618842000000.0000,3,0.070863,1,-1.410941,,,,,
139,2015-07-29,sz.399001,12472.2800,12823.1500,12078.3200,12823.0700,12316.7800,29648876800,523083000000.0000,3,0.056126,1,4.110628,,,,,
140,2015-07-30,sz.399001,12766.3400,12988.5500,12382.3000,12395.9200,12823.0700,29945852800,540746000000.0000,3,0.056688,1,-3.331115,,,,,
141,2015-07-31,sz.399001,12228.4100,12580.9600,12213.4600,12374.2500,12395.9200,23519152000,417611000000.0000,3,0.044513,1,-0.174799,,,,,
142,2015-08-03,sz.399001,12178.5700,12305.6100,11909.0000,12161.5800,12374.2500,24373707200,402309000000.0000,3,0.046122,1,-1.718712,,,,,
143,2015-08-04,sz.399001,12163.1200,12711.5600,12105.9400,12711.5600,12161.5800,26160070400,442429000000.0000,3,0.049501,1,4.522319,,,,,
144,2015-08-05,sz.399001,12694.5700,12842.3100,12447.0400,12524.6900,12711.5600,27115078400,476253000000.0000,3,0.051307,1,-1.470126,,,,,
145,2015-08-06,sz.399001,12274.7200,12595.1200,12231.8900,12421.8500,12524.6900,20222916800,349618000000.0000,3,0.038268,1,-0.821074,,,,,
146,2015-08-07,sz.399001,12543.6600,12769.1300,12522.4700,12753.0500,12421.8500,25188806400,448819000000.0000,3,0.047665,1,2.666271,,,,,
147,2015-08-10,sz.399001,12877.3100,13373.3000,12821.8900,13302.9600,12753.0500,32308073600,574798000000.0000,3,0.061082,1,4.312013,,,,,
148,2015-08-11,sz.399001,13316.8900,13508.3000,13240.0900,13323.0800,13302.9600,35182988800,623124000000.0000,3,0.066517,1,0.151267,,,,,
